ResUnitAmenities
Property_Code,Unit_Code,Amenity_Code,Amenity_Name,Amenity_Description,Prior_Charge,Prior_Charge_Date,Current_Charge,Current_Charge_Date,Proposed_Charge,Proposed_Charge_Date,Notes,Ref_Property_ID,Ref_Unit_Id
"ce","S1500-6F","Rent","Rent","Rent",774.00,03/31/2016,789.00,02/22/2017,789.00,03/31/2017,,,
"ce","S1500-6K","Rent","Rent","Rent",774.00,03/31/2016,789.00,02/22/2017,789.00,03/31/2017,,,
"ce","C5250L","Rent","Rent","Rent",738.00,02/22/2017,879.00,03/31/2017,879.00,03/31/2017,,,
"ce","C5254M","Rent","Rent","Rent",724.00,03/31/2016,738.00,02/22/2017,738.00,03/31/2017,,,
"ce","S1500-1B","Rent","Rent","Rent",764.00,03/31/2016,779.00,02/22/2017,779.00,03/31/2017,,,
"ce","S1500-1F","Rent","Rent","Rent",764.00,03/31/2016,779.00,02/22/2017,779.00,03/31/2017,,,
"ce","S1500-1K","Rent","Rent","Rent",764.00,03/31/2016,779.00,02/22/2017,779.00,03/31/2017,,,
"ce","S1500-2K","Rent","Rent","Rent",764.00,03/31/2016,779.00,02/22/2017,779.00,03/31/2017,,,
"ce","S1500-3B","Rent","Rent","Rent",764.00,03/31/2016,779.00,02/22/2017,779.00,03/31/2017,,,
"ce","S1500-3F","Rent","Rent","Rent",764.00,03/31/2016,779.00,02/22/2017,779.00,03/31/2017,,,
"ce","S1500-3K","Rent","Rent","Rent",764.00,03/31/2016,779.00,02/22/2017,779.00,03/31/2017,,,
"ce","C05278","Rent","Rent","Rent",881.00,02/22/2017,1039.00,03/31/2017,1039.00,03/31/2017,,,
"ce","C05280","Rent","Rent","Rent",881.00,02/22/2017,1039.00,03/31/2017,1039.00,03/31/2017,,,
"ce","S1500-7C","Rent","Rent","Rent",864.00,03/31/2016,881.00,02/22/2017,881.00,03/31/2017,,,
"ce","S1500-7D","Rent","Rent","Rent",864.00,03/31/2016,881.00,02/22/2017,881.00,03/31/2017,,,
"ce","C05274","Rent","Rent","Rent",1014.00,03/31/2016,1034.00,02/22/2017,1034.00,03/31/2017,,,
"ce","C05276","Rent","Rent","Rent",1034.00,02/22/2017,1199.00,03/31/2017,1199.00,03/31/2017,,,
"ce","C05282","Rent","Rent","Rent",1034.00,02/22/2017,1199.00,03/31/2017,1199.00,03/31/2017,,,
"ce","C05284","Rent","Rent","Rent",1014.00,03/31/2016,1034.00,02/22/2017,1034.00,03/31/2017,,,
"ce","S1500-7E","Rent","Rent","Rent",1014.00,03/31/2016,1034.00,02/22/2017,1034.00,03/31/2017,,,
"ce","S1500-7F","Rent","Rent","Rent",1014.00,03/31/2016,1034.00,02/22/2017,1034.00,03/31/2017,,,
"ce","C0007C","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C0007D","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5322C","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5322D","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5324C","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5324D","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5326C","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5326D","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5252C","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5252D","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5250D","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C5254C","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
"ce","C0003C","patio","Patio","Patio",,,10.00,04/17/2013,10.00,03/31/2017,,,
