,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Sqft,Length of Stay,Vacancy,City,State,Zip_Code,SQFT,BedRooms,Bathroom
529,ce,t0025284,Rent Change,2016-06-30,C0003F,2015-07-15,,709.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
530,ce,t0025284,Rent Change,2016-07-31,C0003F,2015-07-15,,724.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
542,ce,t0032772,Rent Change,2018-03-31,C0003F,2017-04-29,,862.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
543,ce,t0032772,Rent Change,2018-04-30,C0003F,2017-04-29,,899.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
545,ce,t0013761,Move Out,2013-10-31,C0003G,2012-10-13,2013-10-31,640.0,0.0,383 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
549,ce,t0013761,Rent Change,2013-04-26,C0003G,2012-10-13,,0.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
550,ce,t0013761,Rent Change,2013-04-30,C0003G,2012-10-13,,640.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
556,ce,t0016111,Rent Change,2014-11-30,C0003G,2013-11-27,,694.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
558,ce,t0016111,Rent Change,2015-11-30,C0003G,2013-11-27,,719.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
560,ce,t0016111,Rent Change,2016-11-30,C0003G,2013-11-27,,759.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
562,ce,t0016111,Rent Change,2017-12-01,C0003G,2013-11-27,,769.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
564,ce,t0016111,Rent Change,2018-11-30,C0003G,2013-11-27,,809.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
568,ce,t0013762,Move Out,2016-04-25,C0003H,2009-12-02,2016-04-21,679.0,0.0,2332 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
573,ce,t0013762,Rent Change,2013-04-26,C0003H,2009-12-02,,0.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
574,ce,t0013762,Rent Change,2013-04-30,C0003H,2009-12-02,,640.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
577,ce,t0013762,Rent Change,2014-05-31,C0003H,2009-12-02,,659.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
579,ce,t0013762,Rent Change,2015-05-31,C0003H,2009-12-02,,679.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
581,ce,t0029475,Move Out,2018-07-31,C0003H,2016-07-02,2018-07-31,759.0,0.0,759 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
596,ce,t0029475,Rent Change,2017-06-30,C0003H,2016-07-02,,759.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
599,ce,t0013763,Move Out,2013-12-01,C0003J,2011-11-11,2013-11-30,650.0,0.0,750 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
603,ce,t0013763,Rent Change,2013-04-26,C0003J,2011-11-11,,0.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
604,ce,t0013763,Rent Change,2013-04-30,C0003J,2011-11-11,,650.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
607,ce,t0017989,Move Out,2014-08-27,C0003J,2014-01-03,2014-08-27,695.0,0.0,236 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
612,ce,t0017989,Rent Change,2014-01-03,C0003J,2014-01-03,,751.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
613,ce,t0017989,Rent Change,2014-01-03,C0003J,2014-01-03,,695.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
621,ce,t0023312,Move Out,2016-10-03,C0003J,2014-09-27,2016-09-30,738.0,0.0,734 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
624,ce,t0023312,Rent Change,2014-09-27,C0003J,2014-09-27,,680.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
628,ce,t0023312,Rent Change,2015-09-30,C0003J,2014-09-27,,738.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
648,ce,t0031362,Rent Change,2017-12-01,C0003J,2016-11-30,,779.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
650,ce,t0031362,Rent Change,2018-10-31,C0003J,2016-11-30,,782.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
651,ce,t0031362,Rent Change,2018-11-30,C0003J,2016-11-30,,859.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
654,ce,t0013764,Move Out,2014-01-13,C0003K,2011-08-19,2014-01-13,676.0,0.0,878 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
661,ce,t0013764,Rent Change,2013-04-26,C0003K,2011-08-19,,0.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
662,ce,t0013764,Rent Change,2013-04-30,C0003K,2011-08-19,,650.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
663,ce,t0013764,Rent Change,2013-10-31,C0003K,2011-08-19,,676.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
666,ce,t0024653,Move Out,2016-10-06,C0003K,2015-03-14,2016-10-04,721.0,0.0,570 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
676,ce,t0024653,Rent Change,2016-03-31,C0003K,2015-03-14,,721.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
678,ce,t0031423,Move Out,2018-06-17,C0003K,2016-11-30,2018-06-16,779.0,0.0,563 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
688,ce,t0031423,Rent Change,2017-12-01,C0003K,2016-11-30,,779.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
697,ce,t0013765,Move Out,2016-08-01,C0003L,2012-08-01,2016-07-31,720.0,0.0,1460 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
701,ce,t0013765,Rent Change,2013-04-26,C0003L,2012-08-01,,0.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
702,ce,t0013765,Rent Change,2013-04-30,C0003L,2012-08-01,,650.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
703,ce,t0013765,Rent Change,2013-08-01,C0003L,2012-08-01,,680.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
705,ce,t0013765,Rent Change,2014-07-31,C0003L,2012-08-01,,700.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
708,ce,t0013765,Rent Change,2014-09-01,C0003L,2012-08-01,,710.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
710,ce,t0013765,Rent Change,2015-07-31,C0003L,2012-08-01,,720.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
716,ce,t0030942,Rent Change,2016-10-31,C0003L,2016-11-15,,769.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
720,ce,t0013766,Move Out,2013-07-01,C0003M,2009-04-30,2013-06-30,650.0,0.0,1522 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
725,ce,t0013766,Rent Change,2013-04-26,C0003M,2009-04-30,,0.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
726,ce,t0013766,Rent Change,2013-04-30,C0003M,2009-04-30,,650.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
727,ce,t0014409,Rent Change,2013-06-13,C0003M,2013-06-03,,680.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
730,ce,t0014409,Rent Change,2013-06-13,C0003M,2013-07-15,,704.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
737,ce,t0015962,Move Out,2017-10-31,C0003M,2013-10-12,2017-10-31,724.0,0.0,1480 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
747,ce,t0015962,Rent Change,2014-11-01,C0003M,2013-10-12,,657.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
750,ce,t0015962,Rent Change,2015-11-01,C0003M,2013-10-12,,699.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
752,ce,t0015962,Rent Change,2016-10-31,C0003M,2013-10-12,,724.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
754,ce,t0037950,Move Out,2018-06-04,C0003M,2017-12-16,2018-05-31,769.0,0.0,166 days 00:00:00.000000000,1,Fairfield,OH,45014,905,2,1.0
764,ce,t0037950,Rent Change,2018-11-30,C0003M,2017-12-16,,821.0,0.0,,0,Fairfield,OH,45014,905,2,1.0
