,Rent,Vacancy,SQFT,BedRooms,Bathroom,chrent,LengthStay,Property_Code_ce,Property_Code_fh,Property_Code_mpg,Property_Code_sh,Apt Size_0,Apt Size_large,Apt Size_medium,Apt Size_small
598,575.0,1,635,1,1.0,0.0,334,1,0,0,0,0,0,1,0
610,675.0,1,875,2,1.5,0.0,364,1,0,0,0,0,0,1,0
611,685.0,1,875,2,1.5,0.0,213,1,0,0,0,0,0,1,0
613,575.0,1,635,1,1.0,20.0,364,1,0,0,0,0,0,1,0
615,572.0,1,635,1,1.0,17.0,186,1,0,0,0,0,0,1,0
617,582.0,1,635,1,1.0,17.0,284,1,0,0,0,0,0,1,0
625,649.0,1,875,2,1.5,14.0,467,1,0,0,0,0,0,1,0
627,675.0,1,875,2,1.5,20.0,122,1,0,0,0,0,0,1,0
629,685.0,1,875,2,1.5,20.0,396,1,0,0,0,0,0,1,0
637,693.0,1,875,2,1.5,18.0,364,1,0,0,0,0,0,1,0
640,859.0,1,875,2,1.5,199.0,22,1,0,0,0,0,0,1,0
642,644.0,1,875,2,1.5,19.0,226,1,0,0,0,0,0,1,0
644,706.0,1,875,2,1.5,21.0,640,1,0,0,0,0,0,1,0
645,655.0,1,875,2,1.5,0.0,365,1,0,0,0,0,0,1,0
649,705.0,1,875,2,1.5,20.0,365,1,0,0,0,0,0,1,0
650,635.0,1,875,2,1.5,0.0,29,1,0,0,0,0,0,1,0
659,713.0,1,875,2,1.5,33.0,365,1,0,0,0,0,0,1,0
660,665.0,1,875,2,1.5,0.0,361,1,0,0,0,0,0,1,0
662,650.0,1,875,2,1.5,15.0,454,1,0,0,0,0,0,1,0
663,655.0,1,875,2,1.5,0.0,607,1,0,0,0,0,0,1,0
666,684.0,1,875,2,1.5,20.0,341,1,0,0,0,0,0,1,0
671,738.0,1,875,2,1.5,27.0,259,1,0,0,0,0,0,1,0
672,675.0,1,875,2,1.5,0.0,310,1,0,0,0,0,0,1,0
675,644.0,1,875,2,1.5,19.0,365,1,0,0,0,0,0,1,0
676,635.0,1,875,2,1.5,0.0,92,1,0,0,0,0,0,1,0
678,695.0,1,875,2,1.5,20.0,365,1,0,0,0,0,0,1,0
679,697.0,1,875,2,1.5,0.0,212,1,0,0,0,0,0,1,0
682,728.0,1,875,2,1.5,28.0,366,1,0,0,0,0,0,1,0
685,699.0,1,875,2,1.5,37.0,32,1,0,0,0,0,0,1,0
686,728.0,1,875,2,1.5,29.0,365,1,0,0,0,0,0,1,0
690,650.0,1,875,2,1.5,-20.0,212,1,0,0,0,0,0,1,0
692,679.0,1,875,2,1.5,20.0,366,1,0,0,0,0,0,1,0
693,635.0,1,875,2,1.5,0.0,36,1,0,0,0,0,0,1,0
694,664.0,1,875,2,1.5,0.0,275,1,0,0,0,0,0,1,0
699,635.0,1,875,2,1.5,0.0,365,1,0,0,0,0,0,1,0
700,635.0,1,875,2,1.5,0.0,31,1,0,0,0,0,0,1,0
702,675.0,1,875,2,1.5,20.0,0,1,0,0,0,0,0,1,0
704,668.0,1,875,2,1.5,19.0,366,1,0,0,0,0,0,1,0
706,728.0,1,875,2,1.5,-286.0,61,1,0,0,0,0,0,1,0
711,728.0,1,875,2,1.5,14.0,273,1,0,0,0,0,0,1,0
714,695.0,1,875,2,1.5,20.0,92,1,0,0,0,0,0,1,0
722,655.0,1,875,2,1.5,1.0,367,1,0,0,0,0,0,1,0
724,695.0,1,875,2,1.5,20.0,33,1,0,0,0,0,0,1,0
727,740.0,1,875,2,1.5,22.0,335,1,0,0,0,0,0,1,0
729,690.0,1,875,2,1.5,19.0,365,1,0,0,0,0,0,1,0
731,654.0,1,875,2,1.5,19.0,365,1,0,0,0,0,0,1,0
733,657.0,1,875,2,1.5,7.0,140,1,0,0,0,0,0,1,0
735,679.0,1,875,2,1.5,19.0,285,1,0,0,0,0,0,1,0
737,677.0,1,875,2,1.5,6.0,365,1,0,0,0,0,0,1,0
741,748.0,1,875,2,1.5,23.0,365,1,0,0,0,0,0,1,0
742,655.0,1,875,2,1.5,0.0,364,1,0,0,0,0,0,1,0
743,645.0,1,875,2,1.5,0.0,181,1,0,0,0,0,0,1,0
744,665.0,1,875,2,1.5,0.0,66,1,0,0,0,0,0,1,0
763,748.0,1,875,2,1.5,14.0,365,1,0,0,0,0,0,1,0
776,669.0,1,875,2,1.5,0.0,487,1,0,0,0,0,0,1,0
781,655.0,1,875,2,1.5,0.0,485,1,0,0,0,0,0,1,0
783,695.0,1,875,2,1.5,20.0,273,1,0,0,0,0,0,1,0
788,744.0,1,875,2,1.5,39.0,365,1,0,0,0,0,0,1,0
789,560.0,1,675,1,1.0,0.0,407,1,0,0,0,0,0,1,0
792,639.0,1,675,1,1.0,20.0,113,1,0,0,0,0,0,1,0
793,561.0,1,635,1,1.0,0.0,71,1,0,0,0,0,0,1,0
795,940.0,1,1400,3,2.5,49.0,366,1,0,0,0,0,1,0,0
796,565.0,1,635,1,1.0,0.0,365,1,0,0,0,0,0,1,0
800,629.0,1,675,1,1.0,35.0,365,1,0,0,0,0,0,1,0
804,748.0,1,955,2,2.0,28.0,378,1,0,0,0,0,0,1,0
807,729.0,1,955,2,2.0,29.0,76,1,0,0,0,0,0,1,0
809,594.0,1,675,1,1.0,17.0,160,1,0,0,0,0,0,1,0
820,654.0,1,875,2,1.5,19.0,87,1,0,0,0,0,0,1,0
826,687.0,1,675,1,1.0,28.0,365,1,0,0,0,0,0,1,0
827,570.0,1,675,1,1.0,0.0,60,1,0,0,0,0,0,1,0
828,625.0,1,875,2,1.5,0.0,133,1,0,0,0,0,0,1,0
835,685.0,1,675,1,1.0,30.0,37,1,0,0,0,0,0,1,0
837,685.0,1,955,2,1.0,20.0,335,1,0,0,0,0,0,1,0
839,675.0,1,875,2,1.5,20.0,61,1,0,0,0,0,0,1,0
840,560.0,1,675,1,1.0,0.0,257,1,0,0,0,0,0,1,0
841,659.0,1,905,2,1.0,0.0,304,1,0,0,0,0,0,1,0
842,585.0,1,675,1,1.0,0.0,349,1,0,0,0,0,0,1,0
845,736.0,1,955,2,1.5,42.0,370,1,0,0,0,0,0,1,0
852,614.0,1,675,1,1.0,32.0,366,1,0,0,0,0,0,1,0
853,564.0,1,675,1,1.0,0.0,473,1,0,0,0,0,0,1,0
857,884.0,1,875,2,1.5,39.0,303,1,0,0,0,0,0,1,0
859,729.0,1,955,2,1.0,27.0,365,1,0,0,0,0,0,1,0
862,799.0,1,955,2,1.5,40.0,365,1,0,0,0,0,0,1,0
864,604.0,1,675,1,1.0,4.0,374,1,0,0,0,0,0,1,0
865,719.0,1,955,2,1.0,0.0,365,1,0,0,0,0,0,1,0
867,629.0,1,675,1,1.0,20.0,213,1,0,0,0,0,0,1,0
868,711.0,1,955,2,2.0,0.0,272,1,0,0,0,0,0,1,0
870,699.0,1,875,2,1.5,45.0,334,1,0,0,0,0,0,1,0
871,581.0,1,635,1,1.0,0.0,364,1,0,0,0,0,0,1,0
872,603.0,1,675,1,1.0,18.0,313,1,0,0,0,0,0,1,0
873,598.0,1,675,1,1.0,0.0,449,1,0,0,0,0,0,1,0
875,650.0,1,675,1,1.0,0.0,211,1,0,0,0,0,0,1,0
877,859.0,1,1088,2,1.5,49.0,305,1,0,0,0,0,1,0,0
881,619.0,1,635,1,1.0,24.0,33,1,0,0,0,0,0,1,0
882,602.0,1,675,1,1.0,0.0,463,1,0,0,0,0,0,1,0
884,780.0,1,955,2,1.0,30.0,578,1,0,0,0,0,0,1,0
885,645.0,1,675,1,1.0,0.0,335,1,0,0,0,0,0,1,0
886,635.0,1,875,2,1.5,0.0,61,1,0,0,0,0,0,1,0
888,780.0,1,875,2,1.5,30.0,366,1,0,0,0,0,0,1,0
891,710.0,1,875,2,1.5,30.0,42,1,0,0,0,0,0,1,0
893,739.0,1,875,2,1.5,8.0,377,1,0,0,0,0,0,1,0
896,709.0,1,955,2,2.0,36.0,366,1,0,0,0,0,0,1,0
906,680.0,1,905,2,1.0,30.0,369,1,0,0,0,0,0,1,0
910,748.0,1,875,2,1.5,30.0,153,1,0,0,0,0,0,1,0
911,641.0,1,675,1,1.0,0.0,635,1,0,0,0,0,0,1,0
912,683.0,1,875,2,1.5,0.0,133,1,0,0,0,0,0,1,0
913,643.0,1,675,1,1.0,0.0,410,1,0,0,0,0,0,1,0
915,642.0,1,675,1,1.0,12.0,365,1,0,0,0,0,0,1,0
916,690.0,1,875,2,1.5,0.0,147,1,0,0,0,0,0,1,0
918,650.0,1,675,1,1.0,60.0,222,1,0,0,0,0,0,1,0
919,680.0,1,905,2,1.0,0.0,214,1,0,0,0,0,0,1,0
920,591.0,1,635,1,1.0,0.0,473,1,0,0,0,0,0,1,0
924,729.0,1,875,2,1.5,-21.0,310,1,0,0,0,0,0,1,0
926,620.0,1,675,1,1.0,-75.0,376,1,0,0,0,0,0,1,0
928,675.0,1,875,2,1.5,-33.0,549,1,0,0,0,0,0,1,0
929,879.0,1,875,2,1.5,204.0,340,1,0,0,0,0,0,1,0
932,707.0,1,955,2,2.0,18.0,331,1,0,0,0,0,0,1,0
933,863.0,1,1088,2,1.5,0.0,365,1,0,0,0,0,1,0,0
934,603.0,1,635,1,1.0,0.0,365,1,0,0,0,0,0,1,0
935,668.0,1,675,1,1.0,0.0,325,1,0,0,0,0,0,1,0
936,744.0,1,675,1,1.0,0.0,13,1,0,0,0,0,0,1,0
937,669.0,1,675,1,1.0,-75.0,52,1,0,0,0,0,0,1,0
938,626.0,1,905,1,2.0,0.0,434,1,0,0,0,0,0,1,0
939,849.0,1,1088,2,1.5,0.0,182,1,0,0,0,0,1,0,0
940,737.0,1,675,1,1.0,0.0,181,1,0,0,0,0,0,1,0
941,658.0,1,675,1,1.0,0.0,241,1,0,0,0,0,0,1,0
944,724.0,1,905,2,1.0,25.0,365,1,0,0,0,0,0,1,0
946,720.0,1,875,2,1.5,65.0,700,1,0,0,0,0,0,1,0
949,649.0,1,675,1,1.0,19.0,362,1,0,0,0,0,0,1,0
950,688.0,1,675,1,1.0,39.0,1,1,0,0,0,0,0,1,0
951,665.0,1,675,1,1.0,0.0,59,1,0,0,0,0,0,1,0
953,669.0,1,675,1,1.0,24.0,161,1,0,0,0,0,0,1,0
955,692.0,1,955,2,2.0,21.0,317,1,0,0,0,0,0,1,0
958,699.0,1,875,2,1.5,34.0,365,1,0,0,0,0,0,1,0
963,635.0,1,905,1,1.0,0.0,372,1,0,0,0,0,0,1,0
965,716.0,1,875,2,1.5,61.0,364,1,0,0,0,0,0,1,0
972,737.0,1,875,2,1.5,21.0,92,1,0,0,0,0,0,1,0
973,606.0,1,675,1,1.0,0.0,92,1,0,0,0,0,0,1,0
980,614.0,1,675,1,1.0,-41.0,174,1,0,0,0,0,0,1,0
982,590.0,1,675,1,1.0,10.0,382,1,0,0,0,0,0,1,0
