,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Sqft,Length of Stay,Vacancy
4873,ce,t0014117,Notice Given,2013-05-29,M0009B,2011-07-01,2013-05-31,535.0,0.0,700 days 00:00:00.000000000,0
4877,ce,t0014118,Adjust Moveout Dates,2013-05-31,M0009C,2012-06-01,2013-06-01,545.0,0.0,365 days 00:00:00.000000000,0
4878,ce,t0014118,Deposit Change,2013-06-10,M0009C,2012-06-01,2013-06-01,545.0,0.0,365 days 00:00:00.000000000,0
4879,ce,t0014118,Deposit Accounting,2013-06-10,M0009C,2012-06-01,2013-06-01,545.0,0.0,365 days 00:00:00.000000000,0
4880,ce,t0014118,Notice Given,2013-05-31,M0009C,2012-06-01,2013-05-31,545.0,0.0,364 days 00:00:00.000000000,0
4881,ce,t0014118,Adjust Moveout Dates,2013-06-03,M0009C,2012-06-01,2013-05-31,545.0,0.0,364 days 00:00:00.000000000,0
4882,ce,t0014118,Move Out,2013-06-03,M0009C,2012-06-01,2013-05-31,545.0,0.0,364 days 00:00:00.000000000,1
4886,ce,t0014119,Transfer Unit (From M0009D to M0009F),2018-03-08,M0009F,2018-03-16,,656.0,0.0,,0
4887,ce,t0014119,Cancel Move In,2018-03-08,M0009F,,,656.0,0.0,,0
5034,ce,t0014131,Notice Given,2013-12-02,M0011E,2013-01-30,2014-01-31,565.0,0.0,366 days 00:00:00.000000000,0
5035,ce,t0014131,Move Out,2014-02-03,M0011E,2013-01-30,2014-01-31,565.0,0.0,366 days 00:00:00.000000000,1
5036,ce,t0014131,Deposit Change,2014-03-12,M0011E,2013-01-30,2014-01-31,565.0,0.0,366 days 00:00:00.000000000,0
5037,ce,t0014131,Deposit Accounting,2014-03-12,M0011E,2013-01-30,2014-01-31,565.0,0.0,366 days 00:00:00.000000000,0
5041,ce,t0014132,Notice Given,2013-08-14,M0011F,2012-09-20,2013-09-30,555.0,0.0,375 days 00:00:00.000000000,0
5042,ce,t0014132,Move Out,2013-09-30,M0011F,2012-09-20,2013-09-30,555.0,0.0,375 days 00:00:00.000000000,1
5043,ce,t0014132,Deposit Change,2013-10-18,M0011F,2012-09-20,2013-09-30,555.0,0.0,375 days 00:00:00.000000000,0
5044,ce,t0014132,Deposit Accounting,2013-10-18,M0011F,2012-09-20,2013-09-30,555.0,0.0,375 days 00:00:00.000000000,0
5048,ce,t0014133,Notice Given,2013-12-14,M0012A,2009-09-02,2014-01-31,625.0,0.0,1612 days 00:00:00.000000000,0
5049,ce,t0014133,Move Out,2014-01-31,M0012A,2009-09-02,2014-01-31,625.0,0.0,1612 days 00:00:00.000000000,1
5050,ce,t0014133,Deposit Change,2014-03-03,M0012A,2009-09-02,2014-01-31,625.0,0.0,1612 days 00:00:00.000000000,0
5051,ce,t0014133,Deposit Accounting,2014-03-03,M0012A,2009-09-02,2014-01-31,625.0,0.0,1612 days 00:00:00.000000000,0
5055,ce,t0014134,Notice Given,2013-12-02,M0012B,2012-01-21,2014-01-31,625.0,0.0,741 days 00:00:00.000000000,0
5056,ce,t0014134,Move Out,2014-02-03,M0012B,2012-01-21,2014-01-31,625.0,0.0,741 days 00:00:00.000000000,1
5057,ce,t0014134,Deposit Change,2014-03-12,M0012B,2012-01-21,2014-01-31,625.0,0.0,741 days 00:00:00.000000000,0
5058,ce,t0014134,Deposit Accounting,2014-03-12,M0012B,2012-01-21,2014-01-31,625.0,0.0,741 days 00:00:00.000000000,0
5082,ce,t0014136,Adjust Moveout Dates,2013-04-30,M0012D,2012-04-21,2013-05-01,645.0,0.0,375 days 00:00:00.000000000,0
5083,ce,t0014136,Move Out,2013-05-06,M0012D,2012-04-21,2013-05-01,645.0,0.0,375 days 00:00:00.000000000,1
5084,ce,t0014136,Deposit Change,2013-05-08,M0012D,2012-04-21,2013-05-01,645.0,0.0,375 days 00:00:00.000000000,0
5085,ce,t0014136,Deposit Accounting,2013-05-08,M0012D,2012-04-21,2013-05-01,645.0,0.0,375 days 00:00:00.000000000,0
5086,ce,t0014136,Notice Given,2013-04-17,M0012D,2012-04-21,2013-04-30,645.0,0.0,374 days 00:00:00.000000000,0
5119,ce,t0014140,Notice Given,2013-06-13,M0013B,2012-05-15,2013-06-30,535.0,0.0,411 days 00:00:00.000000000,0
5120,ce,t0014140,Move Out,2013-07-01,M0013B,2012-05-15,2013-06-30,535.0,0.0,411 days 00:00:00.000000000,1
5121,ce,t0014140,Deposit Change,2013-07-08,M0013B,2012-05-15,2013-06-30,535.0,0.0,411 days 00:00:00.000000000,0
5122,ce,t0014140,Deposit Accounting,2013-07-08,M0013B,2012-05-15,2013-06-30,535.0,0.0,411 days 00:00:00.000000000,0
5126,ce,t0014140,Month to Month,2013-06-01,M0013B,2012-05-15,,535.0,0.0,,0
5166,ce,t0014144,Notice Given,2013-04-17,M0013F,2012-04-27,2013-04-30,550.0,0.0,368 days 00:00:00.000000000,0
5167,ce,t0014144,Move Out,2013-04-30,M0013F,2012-04-27,2013-04-30,550.0,0.0,368 days 00:00:00.000000000,1
5168,ce,t0014144,Deposit Change,2013-05-08,M0013F,2012-04-27,2013-04-30,550.0,0.0,368 days 00:00:00.000000000,0
5169,ce,t0014144,Deposit Accounting,2013-05-08,M0013F,2012-04-27,2013-04-30,550.0,0.0,368 days 00:00:00.000000000,0
