,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Vacancy,SQFT,BedRooms,Bathroom,chrent,LengthStay
6933,sh,t0025204,Rent Change,2018-10-31,AC1071,2017-01-20,,1102.0,0,1350,3,1.5,-30.0,
6934,sh,t0025204,Rent Change,2018-12-31,AC1071,2017-01-20,,925.0,0,1350,3,1.5,-177.0,
7170,sh,t0025205,Rent Change,2015-05-14,TT1177,2015-05-18,2016-06-10,975.0,1,1350,2,1.5,0.0,393 days 00:00:00.000000000
4167,sh,t0025212,Rent Change,2016-05-01,TH5979,2015-05-22,,725.0,0,1006,3,1.5,0.0,
4168,sh,t0025212,Rent Change,2016-05-31,TH5979,2015-05-22,,736.0,0,1006,3,1.5,11.0,
4169,sh,t0025212,Rent Change,2017-04-30,TH5979,2015-05-22,,744.0,0,1006,3,1.5,8.0,
4170,sh,t0025212,Rent Change,2017-05-31,TH5979,2015-05-22,2017-09-18,761.0,1,1006,3,1.5,17.0,110 days 00:00:00.000000000
4967,sh,t0025214,Rent Change,2017-06-30,AC1128,2015-07-26,,994.0,0,1350,3,1.5,0.0,
4968,sh,t0025214,Rent Change,2017-07-31,AC1128,2015-07-26,,1015.0,0,1350,3,1.5,21.0,
4969,sh,t0025214,Rent Change,2018-07-31,AC1128,2015-07-26,2018-07-31,1115.0,1,1350,3,1.5,100.0,0 days 00:00:00.000000000
1808,ce,t0025215,Rent Change,2015-05-09,S1452J,2015-06-13,,629.0,0,675,1,1.0,0.0,
2076,ce,t0025215,Rent Change,2015-05-12,S1458H,2015-06-01,,619.0,0,675,1,1.0,-10.0,
2077,ce,t0025215,Rent Change,2015-05-14,S1458H,2015-06-01,,631.0,0,675,1,1.0,12.0,
2078,ce,t0025215,Rent Change,2015-06-30,S1458H,2015-06-01,2016-05-31,619.0,1,675,1,1.0,-12.0,336 days 00:00:00.000000000
2319,ce,t0025227,Rent Change,2015-06-22,S1500-2J,2015-09-05,,736.0,0,955,2,1.0,0.0,
524,ce,t0025257,Rent Change,2016-05-31,C5252C,2015-06-13,,673.0,0,905,1,1.0,0.0,
525,ce,t0025257,Rent Change,2016-06-30,C5252C,2015-06-13,2016-12-26,689.0,1,905,1,1.0,16.0,179 days 00:00:00.000000000
1205,ce,t0025270,Rent Change,2015-06-30,C5305G,2015-06-24,,1218.0,0,675,1,1.0,0.0,
1206,ce,t0025270,Rent Change,2015-07-31,C5305G,2015-06-24,,609.0,0,675,1,1.0,-609.0,
1207,ce,t0025270,Rent Change,2016-06-30,C5305G,2015-06-24,,639.0,0,675,1,1.0,30.0,
1208,ce,t0025270,Rent Change,2017-05-31,C5305G,2015-06-24,,643.0,0,675,1,1.0,4.0,
1209,ce,t0025270,Rent Change,2017-06-30,C5305G,2015-06-24,2017-06-30,657.0,1,675,1,1.0,14.0,0 days 00:00:00.000000000
3633,ce,t0025279,Rent Change,2015-06-01,M0013F,2015-07-17,,615.0,0,635,1,1.0,0.0,
2872,ce,t0025279,Rent Change,2015-07-13,M0002D,2015-07-17,,605.0,0,635,1,1.0,-10.0,
2113,ce,t0025279,Rent Change,2015-07-17,S1458M,2016-09-12,2016-08-14,649.0,1,675,1,1.0,44.0,394 days 00:00:00.000000000
130,ce,t0025284,Rent Change,2015-06-27,C0003F,2015-07-01,,690.0,0,905,2,1.0,0.0,
131,ce,t0025284,Rent Change,2016-06-30,C0003F,2015-07-15,,709.0,0,905,2,1.0,19.0,
132,ce,t0025284,Rent Change,2016-07-31,C0003F,2015-07-15,2016-09-30,724.0,1,905,2,1.0,15.0,61 days 00:00:00.000000000
2176,ce,t0025285,Rent Change,2016-06-30,S1500-1G,2015-07-24,,726.0,0,955,2,1.0,0.0,
2177,ce,t0025285,Rent Change,2016-07-31,S1500-1G,2015-07-24,,754.0,0,955,2,1.0,28.0,
2174,ce,t0025285,Rent Change,2017-06-30,S1500-1G,2015-07-24,2017-08-05,779.0,1,955,2,1.0,25.0,36 days 00:00:00.000000000
107,ce,t0025286,Rent Change,2015-05-15,C0003D,2015-06-12,,690.0,0,905,2,1.0,0.0,
372,ce,t0025286,Rent Change,2015-05-15,C0011H,2015-06-12,,680.0,0,905,2,1.0,-10.0,
370,ce,t0025286,Rent Change,2016-05-31,C0011H,2015-06-06,,723.0,0,905,2,1.0,43.0,
371,ce,t0025286,Rent Change,2016-06-30,C0011H,2015-06-06,2017-06-30,729.0,1,905,2,1.0,6.0,365 days 00:00:00.000000000
4629,sh,t0025292,Rent Change,2016-05-01,AC1139,2015-05-29,,977.0,0,1350,2,1.5,0.0,
4630,sh,t0025292,Rent Change,2016-05-31,AC1139,2015-05-29,2017-04-28,995.0,1,1350,2,1.5,18.0,332 days 00:00:00.000000000
683,ce,t0025293,Rent Change,2015-06-16,C5254H,2015-07-01,2016-05-31,700.0,1,955,2,2.0,0.0,350 days 00:00:00.000000000
1380,ce,t0025299,Rent Change,2016-05-31,C5322A,2015-06-06,,635.0,0,675,1,1.0,0.0,
1381,ce,t0025299,Rent Change,2016-06-30,C5322A,2015-06-06,,640.0,0,675,1,1.0,5.0,
1382,ce,t0025299,Rent Change,2017-05-31,C5322A,2015-06-06,,655.0,0,675,1,1.0,15.0,
1383,ce,t0025299,Rent Change,2017-06-30,C5322A,2015-06-06,,657.0,0,675,1,1.0,2.0,
1384,ce,t0025299,Rent Change,2018-05-31,C5322A,2015-06-06,,685.0,0,675,1,1.0,28.0,
1385,ce,t0025299,Rent Change,2018-06-30,C5322A,2015-06-06,,690.0,0,675,1,1.0,5.0,
6093,sh,t0025300,Rent Change,2016-06-30,TH5839,2015-06-24,,720.0,0,1006,2,1.5,0.0,
6094,sh,t0025300,Rent Change,2017-05-31,TH5839,2015-06-24,,726.0,0,1006,2,1.5,6.0,
6095,sh,t0025300,Rent Change,2017-06-30,TH5839,2015-06-24,2018-06-23,745.0,1,1006,2,1.5,19.0,358 days 00:00:00.000000000
1617,ce,t0025314,Rent Change,2015-05-19,C5326F,2015-06-13,2016-06-13,631.0,1,675,1,1.0,0.0,391 days 00:00:00.000000000
5965,sh,t0025323,Rent Change,2016-06-30,TH5814,2015-06-16,,746.0,0,1006,3,1.5,0.0,
5966,sh,t0025323,Rent Change,2017-06-30,TH5814,2015-06-16,2018-06-30,771.0,1,1006,3,1.5,25.0,365 days 00:00:00.000000000
4401,sh,t0025335,Rent Change,2015-05-26,TH5810,2015-07-31,2016-04-30,721.0,1,1006,3,1.5,0.0,340 days 00:00:00.000000000
4429,sh,t0025338,Rent Change,2015-05-27,SH5763,2015-05-30,,824.0,0,1156,3,1.5,0.0,
5909,sh,t0025338,Rent Change,2015-06-10,WAIT,2015-07-31,,824.0,0,868,2,,824.0,
5910,sh,t0025338,Rent Change,2015-06-10,WAIT,2015-07-31,,824.0,0,0,0,,0.0,
818,ce,t0025345,Rent Change,2016-06-30,C5269M,2015-07-25,,646.0,0,675,1,1.0,0.0,
819,ce,t0025345,Rent Change,2016-07-31,C5269M,2015-07-25,,664.0,0,675,1,1.0,18.0,
820,ce,t0025345,Rent Change,2017-06-30,C5269M,2015-07-25,,667.0,0,675,1,1.0,3.0,
821,ce,t0025345,Rent Change,2017-07-31,C5269M,2015-07-25,,677.0,0,675,1,1.0,10.0,
822,ce,t0025345,Rent Change,2018-06-30,C5269M,2015-07-25,,681.0,0,675,1,1.0,4.0,
823,ce,t0025345,Rent Change,2018-07-31,C5269M,2015-07-25,,695.0,0,675,1,1.0,14.0,
