,Property_Code,Tenant_Code,Event,DateOccurred,Unit_Code,DateMoveIn,DateMoveOut,Rent,Vacancy,SQFT,BedRooms,Bathroom,chrent,LengthStay
7380,sh,t0040177,Rent Change,6/23/2018,AC1099,6/23/2018,8/31/2018,1375,1,1350,2,1.5,0,69 days 00:00:00.000000000
4156,sh,t0040179,Rent Change,6/24/2018,TH5969,8/10/2018,,800,0,1006,3,1.5,0,
6862,sh,t0040179,Rent Change,6/27/2018,SH5904,8/10/2018,,775,0,1006,2,1.5,-25,
3932,sh,t0040179,Rent Change,7/5/2018,SH5768,7/9/2018,,800,0,1006,3,1.5,25,
7578,fh,t0040186,Rent Change,6/25/2018,1090AS,6/30/2018,,984,0,700,1,1,0,
6660,sh,t0040188,Rent Change,8/3/2018,WC5970I,8/10/2018,,675,0,950,2,1,0,
2541,ce,t0040192,Rent Change,8/1/2018,S1500-4M,8/11/2018,,850,0,955,2,1.5,0,
5814,sh,t0040197,Rent Change,7/23/2018,TT1193,7/18/2018,,1234,0,1350,2,1.5,0,
7918,mpg,t0040206,Rent Change,6/28/2018,1976-02B,8/1/2018,,1150,0,930,2,2,0,
8145,mpg,t0040206,Rent Change,6/30/2018,2034-05A,9/10/2018,,1100,0,1040,2,2,-50,
7359,sh,t0040212,Rent Change,7/1/2018,WAIT-2TH,7/14/2018,,709,0,1006,2,,0,
6097,sh,t0040212,Rent Change,7/9/2018,TH5839,7/6/2018,,775,0,1006,2,1.5,66,
8704,fh,t0040217,Rent Change,7/3/2018,1060C,8/1/2018,,1210,0,912,2,1,0,
5200,sh,t0040225,Rent Change,9/11/2018,WC5940G,9/21/2018,,720,0,950,2,2,0,
5529,sh,t0040225,Rent Change,10/1/2018,FT5892C,10/10/2018,,685,0,984,2,1,-35,
5412,sh,t0040225,Rent Change,10/4/2018,WC5970G,10/10/2018,,675,0,950,2,1,-10,
6293,sh,t0040225,Rent Change,10/4/2018,WC5946C,10/10/2018,,720,0,950,2,2,45,
5509,sh,t0040228,Rent Change,7/10/2018,FT5880I,7/20/2018,,685,0,984,2,1,0,
7276,sh,t0040231,Rent Change,7/5/2018,WAIT-2B,8/10/2018,,609,0,930,0,,0,
7277,sh,t0040231,Rent Change,7/5/2018,WAIT-2B,8/10/2018,,609,0,950,2,,0,
7071,sh,t0040231,Rent Change,7/17/2018,WC5960D,8/10/2018,,715,0,963,2,1.5,106,
6163,sh,t0040254,Rent Change,7/3/2018,SH5807,7/31/2018,,900,0,1156,3,1.5,0,
6440,sh,t0040255,Rent Change,2/29/2016,WC5936K,12/31/2014,,617,0,950,2,2,0,
6441,sh,t0040255,Rent Change,3/8/2016,WC5936K,12/31/2014,,599,0,950,2,2,-18,
6442,sh,t0040255,Rent Change,4/30/2017,WC5936K,12/31/2014,,623,0,950,2,2,24,
6443,sh,t0040255,Rent Change,5/31/2017,WC5936K,12/31/2014,,624,0,950,2,2,1,
6444,sh,t0040255,Rent Change,5/31/2018,WC5936K,12/31/2014,,661.44,0,950,2,2,37.44,
530,ce,t0040258,Rent Change,10/31/2018,C5252C,7/16/2018,,919,0,905,1,1,0,
5510,sh,t0040265,Rent Change,7/29/2018,FT5880I,7/29/2018,,754,0,984,2,1,0,
5511,sh,t0040265,Rent Change,7/29/2018,FT5880I,8/28/2019,,685,0,984,2,1,-69,
