CommUnits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Property_Code,Bldg_Code,Floor_Code,Unit_Code,Rental_Type,Country,Ext_Ref_Unit_Id,Ref_Property_Id,Ref_Building_Id,Ref_Floor_Id,Available_Date,Date_Ready,Address_1,Address_2,Address_3,Address_4,City,State,Zip_Code,Rent,SQFT,Rent_Ready,Exclude,Unit_Type,Location,BedRooms,Attributes_1,Attributes_2,Attributes_3,Attributes_4,Attributes_5,Attributes_6,Attributes_7,Attributes_8,Attributes_9,Attributes_10,MLA,Lease_Type,Userdefined_1,Userdefined_2,Userdefined_3,Userdefined_4,Userdefined_5,Userdefined_6,Userdefined_7,Userdefined_8,Userdefined_9,Userdefined_10,Notes
ce,,,C5307D,Residential,us,,,,,,4/10/2018,5307 Camelot Drive D,,,,Fairfield,OH,45014,770,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5307E,Residential,us,,,,,,2/20/2017,5307 Camelot Drive E,,,,Fairfield,OH,45014,770,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5307F,Residential,us,,,,,,,5307 Camelot Drive F,,,,Fairfield,OH,45014,675,675,0,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5307G,Residential,us,,,,,,8/10/2018,5307 Camelot Drive G,,,,Fairfield,OH,45014,675,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5307H,Residential,us,,,,,,10/23/2016,5307 Camelot Drive H,,,,Fairfield,OH,45014,675,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5307J,Residential,us,,,,,2/25/2019,2/25/2019,5307 Camelot Drive J,,,,Fairfield,OH,45014,685,675,0,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5307K,Residential,us,,,,,,4/19/2018,5307 Camelot Drive K,,,,Fairfield,OH,45014,790,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5307L,Residential,us,,,,,,10/23/2017,5307 Camelot Drive L,,,,Fairfield,OH,45014,685,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5307M,Residential,us,,,,,,10/18/2018,5307 Camelot Drive M,,,,Fairfield,OH,45014,790,675,1,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5322A,Residential,us,,,,,,5/19/2015,5322 Camelot Drive A,,,,Fairfield,OH,45014,675,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5322B,Residential,us,,,,,,3/26/2016,5322 Camelot Drive B,,,,Fairfield,OH,45014,675,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5322C,Residential,us,,,,,,10/16/2018,5322 Camelot Drive C,,,,Fairfield,OH,45014,780,675,0,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5322D,Residential,us,,,,,,2/15/2019,5322 Camelot Drive D,,,,Fairfield,OH,45014,780,675,0,0,ce1ar,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5322E,Residential,us,,,,,,6/30/2014,5322 Camelot Drive E,,,,Fairfield,OH,45014,685,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5322F,Residential,us,,,,,,6/10/2018,5322 Camelot Drive F,,,,Fairfield,OH,45014,685,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5322G,Residential,us,,,,,,,5322 Camelot Drive G,,,,Fairfield,OH,45014,685,675,0,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5322H,Residential,us,,,,,,5/2/2016,5322 Camelot Drive H,,,,Fairfield,OH,45014,685,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5322J,Residential,us,,,,,,1/10/2019,5322 Camelot Drive J,,,,Fairfield,OH,45014,695,675,0,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
ce,,,C5322K,Residential,us,,,,,,10/10/2018,5322 Camelot Drive K,,,,Fairfield,OH,45014,695,675,1,0,ce1a,,1,1,,,,,,,,,,,,,,,,,,,,,,
